Species,log2fc,qval,groupings,sample_type,method
Akkermansia muciniphila,2.6797974665996764,0,MDACC,Stool,Maaslin2
Phocaeicola dorei,-3.1029615045755667,0,HMP,Stool,Maaslin2
Eggerthella lenta,7.602211207018223,0,MDACC,Stool,Maaslin2
Bacteroides cellulosilyticus,-3.1540865856576,0,HMP,Stool,Maaslin2
Bilophila wadsworthia,3.7717211556768255,0,MDACC,Stool,Maaslin2
Oscillibacter sp ER4,-2.0828195243816543,0,HMP,Stool,Maaslin2
Clostridium sp AF36 4,-2.0525260797343328,0,HMP,Stool,Maaslin2
Intestinimonas butyriciproducens,2.856742983368381,0,MDACC,Stool,Maaslin2
Coprococcus catus,2.9029485655375207,0,MDACC,Stool,Maaslin2
Holdemania filiformis,3.3156130712760286,0,MDACC,Stool,Maaslin2
Adlercreutzia equolifaciens,5.128548383535577,0,MDACC,Stool,Maaslin2
Clostridium sp AF15 49,-3.907889839030861,0,HMP,Stool,Maaslin2
Parasutterella SGB9260,-2.481229781181923,0,HMP,Stool,Maaslin2
Dysosmobacter sp NSJ 60,2.001007910119789,0,MDACC,Stool,Maaslin2
Coprococcus eutactus,-3.92840640424319,0,HMP,Stool,Maaslin2
Dorea sp AF36 15AT,2.734915130984717,0,MDACC,Stool,Maaslin2
Faecalicatena fissicatena,-3.0188793835616883,0,HMP,Stool,Maaslin2
Blautia wexlerae,4.632339222621296,1.0512581378617501e-15,MDACC,Stool,Maaslin2
Lacrimispora celerecrescens,6.489002450332242,8.95780258001568e-6,MDACC,Stool,Maaslin2
Blautia faecis,4.062294496680831,2.57525754990721e-5,MDACC,Stool,Maaslin2
Blautia massiliensis,4.7785088419545705,8.55247220977019e-5,MDACC,Stool,Maaslin2
Ruminococcus torques,2.741358319550141,8.58867717883849e-5,MDACC,Stool,Maaslin2
Anaerobutyricum hallii,4.517215517131061,1.1722133844637e-4,MDACC,Stool,Maaslin2
Bacteroides ovatus,-2.8220261837007397,2.4718521616617e-4,HMP,Stool,Maaslin2
Ruthenibacterium lactatiformans,2.6859947295068705,2.9365236106329e-4,MDACC,Stool,Maaslin2
Anaerostipes hadrus,4.187354099325112,3.1446274284676e-4,MDACC,Stool,Maaslin2
Fusicatenibacter saccharivorans,3.127685327213662,4.2871143010538e-4,MDACC,Stool,Maaslin2
Bifidobacterium adolescentis,5.612329114604783,0.00104954851719212,MDACC,Stool,Maaslin2
Phocaeicola vulgatus,-2.2796182779092002,0.00174707825066478,HMP,Stool,Maaslin2
Dorea longicatena,3.1132634344534917,0.00380549970480083,MDACC,Stool,Maaslin2
Longicatena caecimuris,5.554896522983692,0.00470192245299324,MDACC,Stool,Maaslin2
Bacteroides xylanisolvens,3.6703361704900144,0.00483120073725393,MDACC,Stool,Maaslin2
Evtepia gabavorous,3.8915990447361666,0.0076391822453103,MDACC,Stool,Maaslin2
Clostridium sp AF34 10BH,-2.1395701223075565,0.00950437988983612,HMP,Stool,Maaslin2
Coprococcus comes,2.903907950782416,0.00973866913143603,MDACC,Stool,Maaslin2
LKT p  Firmicutes,2.156731684761926,0.00977226320461522,MDACC,Stool,Maaslin2
Bifidobacterium longum,3.8721971233742325,0.0109741392291702,MDACC,Stool,Maaslin2
Blautia obeum,2.802765552119356,0.0130530016788783,MDACC,Stool,Maaslin2
Lacrimispora amygdalina,3.1245491689246334,0.0204784315498155,MDACC,Stool,Maaslin2
Dorea formicigenerans,2.2470408384351357,0.0241377974018246,MDACC,Stool,Maaslin2
Streptococcus parasanguinis,3.9298028736405812,0.0403202337608779,MDACC,Stool,Maaslin2
Ruminococcus bicirculans,-2.4811881771405897,0.0462119552333984,HMP,Stool,Maaslin2
Clostridium fessum,2.4668550292686264,0.060322986438088,MDACC,Stool,Maaslin2
Ruminococcus gnavus,2.723594855200314,0.134391423627152,MDACC,Stool,Maaslin2
Clostridium sp AM22 11AC,2.4081362247387426,0.137263940945341,MDACC,Stool,Maaslin2
Christensenellaceae bacterium,2.42289930193293,0.14031155642118,MDACC,Stool,Maaslin2
Escherichia coli,-2.62422624579081,0.211920683732864,HMP,Stool,Maaslin2
LKT f  Clostridiaceae,3.4657242939641124,0.02905302554464587,MDACC,Stool,AncomBC
